,budget,popularity,revenue,runtime,vote_count,release_date,Action,Adventure,Fantasy,ScienceFiction,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Horror,Romance,Mystery,War,Music,History,Rating
303,0.1313157994736842,0.02449370781676828,0.009369437946498528,0.918918928918919,0.03647882170816951,0.19545527775782615,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.6
494,0.05263158894736842,0.033605256332742924,0.004533530544764268,1.036036046036036,0.05803117353575069,0.054187202118226606,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.3
481,0.05263158894736842,0.016173916050581747,0.015770385032677015,1.00000001,0.020096121839231106,0.07309710200699189,1e-08,1.00000001,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.8
580,0.026842115263157898,0.02373495795042505,0.012776181827290891,0.8378378478378379,0.032983845736129315,0.3066899829858573,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,5.5
456,0.035526325789473685,0.03439044236841186,0.006906794123584687,1.117117127117117,0.05125965758992282,0.14508184696170348,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,7.8
280,0.1763157994736842,0.019035564448733402,0.008980716794625653,1.7207207307207206,0.03342071773263434,0.3116955447211187,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,7.6
112,0.35526316789473683,0.11514011286477552,0.19116112083495787,1.4054054154054054,0.4657055582743556,0.058636590327347846,1e-08,1.00000001,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,8.0
212,0.13157895736842104,0.035651588143888656,0.032443030331122245,1.0540540640540539,0.05162371758701034,0.3039091153551565,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1.00000001,1e-08,1.00000001,1e-08,1e-08,1.00000001,1e-08,6.7
133,0.3157894836842105,0.0716695176376617,0.14902802901550496,1.108108118108108,0.17045290063637686,0.04155411773875735,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.7
382,0.08421053631578947,0.05018417488605616,0.019610810097512126,1.2522522622522523,0.07186545342507644,0.19227714332273954,1e-08,1e-08,1.00000001,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.8
281,0.10526316789473683,0.04382798205470136,0.04764074862306584,1.4144144244144143,0.12392603300859181,0.14611474065310662,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,7.4
271,0.15263158894736842,0.0017751176517060844,0.015782130158235683,1.072072082072072,0.12072230503422164,0.13260766930398854,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.3
235,0.1736842205263158,0.06271513653032997,0.0729125572007749,1.1711711811711711,0.11067424911460608,0.11044018161925949,1.00000001,1e-08,1e-08,1e-08,1.00000001,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.5
