,budget,popularity,revenue,runtime,vote_count,release_date,Action,Adventure,Fantasy,ScienceFiction,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Horror,Mystery,History,War,Music,Documentary,Foreign,TVMovie,vote_average
3810,1e-08,0.004703870140092873,1e-08,0.3343195366272189,0.0015270606108202442,0.038252866013305346,1e-08,1.00000001,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,4.4
3385,1e-08,0.004374174886949019,1e-08,0.3165680573372781,0.0011634771320535194,0.4014777753570357,1.00000001,1.00000001,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,6.2
4393,0.002631588947368421,0.000388345152953043,1e-08,0.3076923176923077,0.0005090268702734148,0.18810154502194834,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.2
3496,1e-08,0.001404410702685172,1e-08,0.3076923176923077,0.0007271769575334497,0.14832184657332934,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.7
4366,0.002631588947368421,0.006079609883645299,0.0006021961636031313,0.27218935911242603,0.004290295049447353,0.1136407112569185,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,7.2
1938,0.06578948368421052,0.020105307931184133,0.007118097343537814,0.35798817568047336,0.028141371256544503,0.09594569803337241,1e-08,1e-08,1e-08,1.00000001,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.4
3454,0.01578948368421053,0.07312289491586742,0.008372269792218839,0.3136094774556213,0.2366201379813845,0.22362789668647926,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,8.1
2050,0.06578948368421052,0.028555570582691973,0.026051150431659217,0.28402367863905326,0.04064864292611984,0.023202562008070454,1.00000001,1e-08,1e-08,1e-08,1.00000001,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.2
2719,0.035526325789473685,0.011401446900254512,0.010411874242975723,0.3165680573372781,0.010471214188481676,0.15271151857485618,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.9
4120,0.01000001,0.0029235603149533325,4.0086183349996165e-05,0.24852072005917158,0.0013089105235602094,0.08525780098617662,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.9
601,1e-08,0.010628666581469609,1e-08,0.28994083840236684,0.007707979749854567,0.15830085248984377,1.00000001,1e-08,1e-08,1.00000001,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,3.4
2859,1e-08,0.02277856738365725,0.011286661022542019,0.2988165780473373,0.027414204299011053,0.14278704274531723,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.4
70,0.4473684310526316,0.04653928027370691,0.07966552734655923,0.3136094774556213,0.07417103966841186,0.18433896902063962,1.00000001,1.00000001,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.1
3915,1e-08,0.0002117242051131391,0.003234045118317104,0.2781065188757396,0.00029087678301337985,0.18564769110805135,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,4.5
2941,0.028947378421052633,0.018278104688191178,0.004702525128734107,0.2958579981656805,0.02428738638161722,0.16056385109932655,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,7.0
3971,1e-08,0.0002452230930319486,1e-08,0.2603550395857988,7.272669575334496e-05,0.296289237581318,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.0
4458,1e-08,7.93958913164552e-06,1e-08,1e-08,1e-08,0.09959921386073015,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.0
2640,0.02105264157894737,0.007917288453084377,0.00019002887881245192,0.3431952762721893,0.006180929139034322,0.21994711581563378,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.7
1682,0.050000010000000004,0.07565573337111514,0.05048579895636651,0.2455621401775148,0.16273997509598603,0.014695868439894212,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.6
304,0.2631579047368421,0.08776141669198047,0.08730382923896739,0.29289941828402366,0.12216405886561954,0.03429943470758241,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.6
728,0.1736842205263158,0.05422656181062825,0.03562419606427836,0.3609467555621302,0.16179465805119256,0.1369250583954522,1.00000001,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.5
3101,1e-08,0.0007172066742711576,1e-08,0.31065089757396447,0.00036359347876672483,0.20129782607001662,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1.00000001,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.4
2510,0.039473694210526315,0.03408458653170199,0.11347362538892901,0.31065089757396447,0.06988075461896451,0.3295253255928784,1.00000001,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.8
